citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations
Hantao Cui; Fangxing Li (2018). ANDES: A Python-Based Cyber-Physical Power System Simulation Tool. 2018 North American Power Symposium (NAPS).,ANDES: A Python-Based Cyber-Physical Power System Simulation Tool,Hantao Cui; Fangxing Li,2018,2018 North American Power Symposium (NAPS),10.1109/naps.2018.8600596,https://doi.org/10.1109/naps.2018.8600596,proceedings-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller"
Torsten Koller; Felix Berkenkamp; Matteo Turchetta; Andreas Krause (2018). Learning-Based Model Predictive Control for Safe Exploration. 2018 IEEE Conference on Decision and Control (CDC).,Learning-Based Model Predictive Control for Safe Exploration,Torsten Koller; Felix Berkenkamp; Matteo Turchetta; Andreas Krause,2018,2018 IEEE Conference on Decision and Control (CDC),10.1109/cdc.2018.8619572,https://doi.org/10.1109/cdc.2018.8619572,proceedings-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Milan Korda; Igor Mezić (2018). Linear predictors for nonlinear dynamical systems: Koopman operator meets model predictive control. Automatica.,Linear predictors for nonlinear dynamical systems: Koopman operator meets model predictive control,Milan Korda; Igor Mezić,2018,Automatica,10.1016/j.automatica.2018.03.046,https://doi.org/10.1016/j.automatica.2018.03.046,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
A. B. Kunya; M. Argin (2018). Model predictive load frequency control of multi-area interconnected power system. 2018 IEEE Texas Power and Energy Conference (TPEC).,Model predictive load frequency control of multi-area interconnected power system,A. B. Kunya; M. Argin,2018,2018 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2018.8312114,https://doi.org/10.1109/tpec.2018.8312114,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows
Ali Mesbah (2018). Stochastic model predictive control with active uncertainty learning: A Survey on dual control. Annual Reviews in Control.,Stochastic model predictive control with active uncertainty learning: A Survey on dual control,Ali Mesbah,2018,Annual Reviews in Control,10.1016/j.arcontrol.2017.11.001,https://doi.org/10.1016/j.arcontrol.2017.11.001,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng (2017). Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology. Energies.,Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology,Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng,2017,Energies,10.3390/en10010078,https://doi.org/10.3390/en10010078,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows
Joshua L. Proctor; Steven L. Brunton; J. Nathan Kutz (2016). Dynamic Mode Decomposition with Control. SIAM Journal on Applied Dynamical Systems.,Dynamic Mode Decomposition with Control,Joshua L. Proctor; Steven L. Brunton; J. Nathan Kutz,2016,SIAM Journal on Applied Dynamical Systems,10.1137/15m1013857,https://doi.org/10.1137/15m1013857,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Marko Tanaskovic; Lorenzo Fagiano; Roy Smith; Manfred Morari (2014). Adaptive receding horizon control for constrained MIMO systems. Automatica.,Adaptive receding horizon control for constrained MIMO systems,Marko Tanaskovic; Lorenzo Fagiano; Roy Smith; Manfred Morari,2014,Automatica,10.1016/j.automatica.2014.10.036,https://doi.org/10.1016/j.automatica.2014.10.036,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer (2014). Distributed model predictive load frequency control of multi-area interconnected power system. International Journal of Electrical Power &amp; Energy Systems.,Distributed model predictive load frequency control of multi-area interconnected power system,Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer,2014,International Journal of Electrical Power &amp; Energy Systems,10.1016/j.ijepes.2014.04.050,https://doi.org/10.1016/j.ijepes.2014.04.050,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows
Anil Aswani; Humberto Gonzalez; S. Shankar Sastry; Claire Tomlin (2013). Provably safe and robust learning-based model predictive control. Automatica.,Provably safe and robust learning-based model predictive control,Anil Aswani; Humberto Gonzalez; S. Shankar Sastry; Claire Tomlin,2013,Automatica,10.1016/j.automatica.2013.02.003,https://doi.org/10.1016/j.automatica.2013.02.003,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
Veronica Adetola; Martin Guay (2010). Robust adaptive MPC for constrained uncertain nonlinear systems. International Journal of Adaptive Control and Signal Processing.,Robust adaptive MPC for constrained uncertain nonlinear systems,Veronica Adetola; Martin Guay,2010,International Journal of Adaptive Control and Signal Processing,10.1002/acs.1193,https://doi.org/10.1002/acs.1193,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
