citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations,theme_black_box_ibr_multimode,theme_data_driven_frequency_control,theme_set_adaptive_tube_mpc,theme_active_dual_safe_identification,theme_multi_area_agc_ace_constrained
Xiaodong Bu; Xisheng Dai (2023). Event-triggered model-free adaptive predictive control for multi-area power systems under deception attacks. Energy Reports.,Event-triggered model-free adaptive predictive control for multi-area power systems under deception attacks,Xiaodong Bu; Xisheng Dai,2023,Energy Reports,10.1016/j.egyr.2023.04.140,https://doi.org/10.1016/j.egyr.2023.04.140,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,True
North American Electric Reliability Corporation (2023). Inverter-Based Resource Performance Issues Public Report. NERC Level 2 Alert report.,Inverter-Based Resource Performance Issues Public Report,North American Electric Reliability Corporation,2023,NERC Level 2 Alert report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_inverter-based_resource_performance_issues_public_report_2023.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm,False,False,False,False,False
Xiaonan Lu; Mark Cannon (2023). Robust adaptive model predictive control with persistent excitation conditions. Automatica.,Robust adaptive model predictive control with persistent excitation conditions,Xiaonan Lu; Mark Cannon,2023,Automatica,10.1016/j.automatica.2023.110959,https://doi.org/10.1016/j.automatica.2023.110959,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
András Sasfi; Melanie N. Zeilinger; Johannes Köhler (2023). Robust adaptive MPC using control contraction metrics. Automatica.,Robust adaptive MPC using control contraction metrics,András Sasfi; Melanie N. Zeilinger; Johannes Köhler,2023,Automatica,10.1016/j.automatica.2023.111169,https://doi.org/10.1016/j.automatica.2023.111169,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Tobias Peschke; Daniel Görges (2023). Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals. International Journal of Robust and Nonlinear Control.,Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals,Tobias Peschke; Daniel Görges,2023,International Journal of Robust and Nonlinear Control,10.1002/rnc.6814,https://doi.org/10.1002/rnc.6814,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler (2023). Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees. IEEE Transactions on Automatic Control.,Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees,Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3241282,https://doi.org/10.1109/tac.2023.3241282,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Max H. Cohen; Calin Belta (2023). Safe exploration in model-based reinforcement learning using control barrier functions. Automatica.,Safe exploration in model-based reinforcement learning using control barrier functions,Max H. Cohen; Calin Belta,2023,Automatica,10.1016/j.automatica.2022.110684,https://doi.org/10.1016/j.automatica.2022.110684,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Anas Makdesi; Antoine Girard; Laurent Fribourg (2023). Safe learning-based model predictive control using the compatible models approach. European Journal of Control.,Safe learning-based model predictive control using the compatible models approach,Anas Makdesi; Antoine Girard; Laurent Fribourg,2023,European Journal of Control,10.1016/j.ejcon.2023.100849,https://doi.org/10.1016/j.ejcon.2023.100849,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
North American Electric Reliability Corporation (2022). 2022 Odessa Disturbance Report. NERC disturbance report.,2022 Odessa Disturbance Report,North American Electric Reliability Corporation,2022,NERC disturbance report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_2022_odessa_disturbance_report-1.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm,False,False,False,False,False
S. Mohammadali Zanjani; Ata Jahangir Moshayedi; Hossein Shahinzadeh; Mohammad-Hossein Fayaz-Dastgerdi; Wahiba Yaici; Jalal Moradi (2022). Data-Driven Model Predictive Control for Load-Frequency Control in Islanded Microgrids. 2022 8th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS).,Data-Driven Model Predictive Control for Load-Frequency Control in Islanded Microgrids,S. Mohammadali Zanjani; Ata Jahangir Moshayedi; Hossein Shahinzadeh; Mohammad-Hossein Fayaz-Dastgerdi; Wahiba Yaici; Jalal Moradi,2022,2022 8th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS),10.1109/icspis56952.2022.10043996,https://doi.org/10.1109/icspis56952.2022.10043996,proceedings-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,False
metadata unavailable (2022). IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems. publisher metadata.,IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems,metadata unavailable,2022,publisher metadata,10.1109/ieeestd.2022.9762253,https://doi.org/10.1109/ieeestd.2022.9762253,standard,True,crossref_exact_doi_title_fragment_year,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm,False,False,False,False,False
Yunzheng Zhao; Tao Liu; David J. Hill (2021). A Data-Enabled Predictive Control Method for Frequency Regulation of Power Systems. 2021 IEEE PES Innovative Smart Grid Technologies Europe (ISGT Europe).,A Data-Enabled Predictive Control Method for Frequency Regulation of Power Systems,Yunzheng Zhao; Tao Liu; David J. Hill,2021,2021 IEEE PES Innovative Smart Grid Technologies Europe (ISGT Europe),10.1109/isgteurope52324.2021.9640013,https://doi.org/10.1109/isgteurope52324.2021.9640013,proceedings-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,False
Kim Peter Wabersich; Melanie N. Zeilinger (2021). A predictive safety filter for learning-based control of constrained nonlinear dynamical systems. Automatica.,A predictive safety filter for learning-based control of constrained nonlinear dynamical systems,Kim Peter Wabersich; Melanie N. Zeilinger,2021,Automatica,10.1016/j.automatica.2021.109597,https://doi.org/10.1016/j.automatica.2021.109597,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Julian Berberich; Johannes Köhler; Matthias A. Müller; Frank Allgöwer (2021). Data-driven model predictive control: closed-loop guarantees and experimental results. at - Automatisierungstechnik.,Data-driven model predictive control: closed-loop guarantees and experimental results,Julian Berberich; Johannes Köhler; Matthias A. Müller; Frank Allgöwer,2021,at - Automatisierungstechnik,10.1515/auto-2021-0024,https://doi.org/10.1515/auto-2021-0024,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower (2021). Data-Driven Model Predictive Control With Stability and Robustness Guarantees. IEEE Transactions on Automatic Control.,Data-Driven Model Predictive Control With Stability and Robustness Guarantees,Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower,2021,IEEE Transactions on Automatic Control,10.1109/tac.2020.3000182,https://doi.org/10.1109/tac.2020.3000182,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2021). Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources. IEEE Transactions on Power Systems.,Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2021,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3075641,https://doi.org/10.1109/tpwrs.2021.3075641,journal-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate,False,False,False,False,False
Anilkumar Parsi; Andrea Iannelli; Roy S. Smith (2020). Active exploration in adaptive model predictive control. 2020 59th IEEE Conference on Decision and Control (CDC).,Active exploration in adaptive model predictive control,Anilkumar Parsi; Andrea Iannelli; Roy S. Smith,2020,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/cdc42340.2020.9304303,https://doi.org/10.1109/cdc42340.2020.9304303,proceedings-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2020). Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources. 2020 IEEE Power &amp; Energy Society General Meeting (PESGM).,Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources,Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2020,2020 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9281861,https://doi.org/10.1109/pesgm41954.2020.9281861,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate,False,False,False,False,True
"Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger (2020). Learning-Based Model Predictive Control: Toward Safe Learning in Control. Annual Review of Control, Robotics, and Autonomous Systems.",Learning-Based Model Predictive Control: Toward Safe Learning in Control,Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger,2020,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-090419-075625,https://doi.org/10.1146/annurev-control-090419-075625,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet (2020). Robust adaptive model predictive control: Performance and parameter estimation. International Journal of Robust and Nonlinear Control.,Robust adaptive model predictive control: Performance and parameter estimation,Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet,2020,International Journal of Robust and Nonlinear Control,10.1002/rnc.5175,https://doi.org/10.1002/rnc.5175,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Linbin Huang; Jeremy Coulson; John Lygeros; Florian Dorfler (2019). Data-Enabled Predictive Control for Grid-Connected Power Converters. 2019 IEEE 58th Conference on Decision and Control (CDC).,Data-Enabled Predictive Control for Grid-Connected Power Converters,Linbin Huang; Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 IEEE 58th Conference on Decision and Control (CDC),10.1109/cdc40024.2019.9029522,https://doi.org/10.1109/cdc40024.2019.9029522,proceedings-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Jeremy Coulson; John Lygeros; Florian Dorfler (2019). Data-Enabled Predictive Control: In the Shallows of the DeePC. 2019 18th European Control Conference (ECC).,Data-Enabled Predictive Control: In the Shallows of the DeePC,Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 18th European Control Conference (ECC),10.23919/ecc.2019.8795639,https://doi.org/10.23919/ecc.2019.8795639,proceedings-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias (2019). Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach. IFAC-PapersOnLine.,Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach,Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias,2019,IFAC-PapersOnLine,10.1016/j.ifacol.2019.12.159,https://doi.org/10.1016/j.ifacol.2019.12.159,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Abidemi Ajiborisha; Paul Trodden (2019). Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage. 2019 IEEE Conference on Control Technology and Applications (CCTA).,Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage,Abidemi Ajiborisha; Paul Trodden,2019,2019 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta.2019.8920505,https://doi.org/10.1109/ccta.2019.8920505,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
A. B. Kunya; M. Argin; S. Kucuksari (2019). Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action. 2019 IEEE Texas Power and Energy Conference (TPEC).,Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action,A. B. Kunya; M. Argin; S. Kucuksari,2019,2019 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2019.8662140,https://doi.org/10.1109/tpec.2019.8662140,proceedings-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Xiaonan Lu; Mark Cannon (2019). Robust Adaptive Tube Model Predictive Control. 2019 American Control Conference (ACC).,Robust Adaptive Tube Model Predictive Control,Xiaonan Lu; Mark Cannon,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814456,https://doi.org/10.23919/acc.2019.8814456,proceedings-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Matthias Lorenzen; Mark Cannon; Frank Allgöwer (2019). Robust MPC with recursive model update. Automatica.,Robust MPC with recursive model update,Matthias Lorenzen; Mark Cannon; Frank Allgöwer,2019,Automatica,10.1016/j.automatica.2019.02.023,https://doi.org/10.1016/j.automatica.2019.02.023,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Hantao Cui; Fangxing Li (2018). ANDES: A Python-Based Cyber-Physical Power System Simulation Tool. 2018 North American Power Symposium (NAPS).,ANDES: A Python-Based Cyber-Physical Power System Simulation Tool,Hantao Cui; Fangxing Li,2018,2018 North American Power Symposium (NAPS),10.1109/naps.2018.8600596,https://doi.org/10.1109/naps.2018.8600596,proceedings-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",False,False,False,False,False
Torsten Koller; Felix Berkenkamp; Matteo Turchetta; Andreas Krause (2018). Learning-Based Model Predictive Control for Safe Exploration. 2018 IEEE Conference on Decision and Control (CDC).,Learning-Based Model Predictive Control for Safe Exploration,Torsten Koller; Felix Berkenkamp; Matteo Turchetta; Andreas Krause,2018,2018 IEEE Conference on Decision and Control (CDC),10.1109/cdc.2018.8619572,https://doi.org/10.1109/cdc.2018.8619572,proceedings-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Milan Korda; Igor Mezić (2018). Linear predictors for nonlinear dynamical systems: Koopman operator meets model predictive control. Automatica.,Linear predictors for nonlinear dynamical systems: Koopman operator meets model predictive control,Milan Korda; Igor Mezić,2018,Automatica,10.1016/j.automatica.2018.03.046,https://doi.org/10.1016/j.automatica.2018.03.046,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
A. B. Kunya; M. Argin (2018). Model predictive load frequency control of multi-area interconnected power system. 2018 IEEE Texas Power and Energy Conference (TPEC).,Model predictive load frequency control of multi-area interconnected power system,A. B. Kunya; M. Argin,2018,2018 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2018.8312114,https://doi.org/10.1109/tpec.2018.8312114,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Ali Mesbah (2018). Stochastic model predictive control with active uncertainty learning: A Survey on dual control. Annual Reviews in Control.,Stochastic model predictive control with active uncertainty learning: A Survey on dual control,Ali Mesbah,2018,Annual Reviews in Control,10.1016/j.arcontrol.2017.11.001,https://doi.org/10.1016/j.arcontrol.2017.11.001,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility,False,False,False,True,False
Yang Zheng; Jianzhong Zhou; Yanhe Xu; Yuncheng Zhang; Zhongdong Qian (2017). A distributed model predictive control based load frequency control scheme for multi-area interconnected power system using discrete-time Laguerre functions. ISA Transactions.,A distributed model predictive control based load frequency control scheme for multi-area interconnected power system using discrete-time Laguerre functions,Yang Zheng; Jianzhong Zhou; Yanhe Xu; Yuncheng Zhang; Zhongdong Qian,2017,ISA Transactions,10.1016/j.isatra.2017.03.009,https://doi.org/10.1016/j.isatra.2017.03.009,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
"Na Dong; Xue‐Shuo Han; Zhong‐Ke Gao; Zeng‐Qiang Chen; Ai‐Guo Wu (2017). SPSA‐based data‐driven control strategy for load frequency control of power systems. IET Generation, Transmission &amp; Distribution.",SPSA‐based data‐driven control strategy for load frequency control of power systems,Na Dong; Xue‐Shuo Han; Zhong‐Ke Gao; Zeng‐Qiang Chen; Ai‐Guo Wu,2017,"IET Generation, Transmission &amp; Distribution",10.1049/iet-gtd.2017.0799,https://doi.org/10.1049/iet-gtd.2017.0799,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,False
Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng (2017). Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology. Energies.,Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology,Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng,2017,Energies,10.3390/en10010078,https://doi.org/10.3390/en10010078,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Joshua L. Proctor; Steven L. Brunton; J. Nathan Kutz (2016). Dynamic Mode Decomposition with Control. SIAM Journal on Applied Dynamical Systems.,Dynamic Mode Decomposition with Control,Joshua L. Proctor; Steven L. Brunton; J. Nathan Kutz,2016,SIAM Journal on Applied Dynamical Systems,10.1137/15m1013857,https://doi.org/10.1137/15m1013857,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Marko Tanaskovic; Lorenzo Fagiano; Roy Smith; Manfred Morari (2014). Adaptive receding horizon control for constrained MIMO systems. Automatica.,Adaptive receding horizon control for constrained MIMO systems,Marko Tanaskovic; Lorenzo Fagiano; Roy Smith; Manfred Morari,2014,Automatica,10.1016/j.automatica.2014.10.036,https://doi.org/10.1016/j.automatica.2014.10.036,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer (2014). Distributed model predictive load frequency control of multi-area interconnected power system. International Journal of Electrical Power &amp; Energy Systems.,Distributed model predictive load frequency control of multi-area interconnected power system,Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer,2014,International Journal of Electrical Power &amp; Energy Systems,10.1016/j.ijepes.2014.04.050,https://doi.org/10.1016/j.ijepes.2014.04.050,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
